Date,San Francisco,Napa,San Diego,Fresno,Santa Cruz,Death Valley,Ojai,Barstow,LA,CedarPark,Redding
20120101,14.4,16.7,19.4,18.3,22.8,20.6,27.2,20.6,27.2,19.4,17.2
20120102,12.8,16.7,20.6,18.3,15,21.1,27.2,17.2,23.9,21.7,15
20120103,11.7,15.6,21.7,13.3,17.2,20.6,26.7,18.3,24.4,10.6,18.3
20120104,13.9,19.4,26.1,16.7,18.9,21.1,27.2,18.9,29.4,3.3,19.4
20120105,16.1,17.8,28.3,17.8,18.3,21.7,26.7,19.4,28.3,8.9,19.4
20120106,13.3,14.4,20,17.8,15,21.1,23.9,20,22.8,16.1,17.2
20120107,17.8,20.6,15,13.3,20,21.1,20.6,19.4,15.6,20,16.1
20120108,18.3,18.3,18.3,17.2,20,25,20.6,17.2,20,22.2,20
20120109,15.6,18.3,23.3,18.9,20,23.3,22.2,15.6,23.9,22.2,16.1
20120110,15,17.2,20.6,18.9,16.1,22.2,20,16.7,19.4,14.4,16.7
20120111,18.3,18.9,19.4,17.2,20,21.1,21.1,16.7,18.9,16.1,19.4
20120112,17.2,19.4,21.1,17.2,21.1,20,22.2,17.2,24.4,16.7,19.4
20120113,16.7,20,25,19.4,23.3,22.2,24.4,15,26.1,16.7,20.6
20120114,15.6,18.3,19.4,20,19.4,20,18.9,15.6,21.7,6.7,17.2
20120115,11.1,13.3,17.2,18.9,15,18.9,17.2,12.2,17.2,9.4,12.8
20120116,10,11.1,14.4,11.1,12.8,18.9,14.4,17.8,13.9,11.7,9.4
20120117,10.6,11.7,14.4,11.7,12.8,20,13.3,17.8,15,12.2,8.3
20120118,11.7,13.3,16.1,13.9,15,17.8,17.2,10.6,15.6,19.4,5
20120119,11.1,11.7,16.1,12.2,0,17.2,18.9,14.4,16.7,13.3,4.4
20120120,15,13.9,16.1,15.6,12.8,17.2,17.2,21.1,16.1,10.6,6.1
20120121,13.9,13.3,16.7,15.6,12.8,17.8,17.8,22.2,16.1,12.8,14.4
20120122,11.7,11.1,15.6,12.8,12.2,24.4,15.6,15.6,16.7,15.6,6.1
20120123,13.9,13.9,15.6,16.1,13.9,18.9,12.2,15.6,13.3,6.1,13.9
20120124,14.4,13.9,17.2,11.7,15.6,16.7,18.9,15.6,20,11.7,12.2
20120125,16.1,17.8,21.1,15.6,20,23.9,24.4,15.6,26.1,17.8,15.6
20120126,15.6,18.3,25,16.1,19.4,23.9,26.7,18.3,21.1,19.4,15
20120127,18.3,21.7,21.1,13.3,20,21.7,24.4,23.3,25,22.2,16.7
20120128,16.1,17.8,24.4,18.3,22.8,25.6,22.8,17.2,23.3,19.4,20
20120129,15.6,18.3,24.4,19.4,20.6,23.9,23.3,16.1,26.7,18.3,17.2
20120130,13.3,15,18.3,16.1,13.9,22.8,21.1,17.2,20.6,13.3,18.9
20120131,13.9,13.3,16.7,17.2,16.7,18.9,18.3,17.8,17.2,17.2,15
20120201,13.9,17.2,19.4,18.3,16.7,23.9,19.4,18.9,17.2,19.4,13.9
20120202,18.9,17.8,16.7,13.9,17.8,25,20.6,19.4,17.2,22.8,18.9
20120203,16.7,17.8,22.8,18.3,19.4,23.9,21.1,15,22.8,22.2,18.3
20120204,16.7,18.9,22.8,20,22.2,21.1,20.6,13.3,22.8,16.7,18.9
20120205,15.6,20,22.8,20.6,20.6,23.3,21.7,15,23.3,21.7,19.4
20120206,16.1,17.8,21.1,18.3,15.6,23.9,20.6,16.1,20.6,24.4,18.3
20120207,15,13.3,16.7,18.9,15,21.1,17.2,16.1,17.2,7.8,10
20120208,17.2,18.3,20.6,19.4,22.2,19.4,22.8,12.8,22.8,14.4,18.3
20120209,18.9,20.6,23.9,21.7,23.9,25.6,26.1,20,25.6,15.6,18.3
20120210,16.7,15,20,22.8,15.6,27.8,23.9,22.2,19.4,11.7,14.4
20120211,12.2,16.1,16.7,16.1,18.3,26.7,18.3,25,16.1,12.2,18.3
20120212,13.3,14.4,16.7,16.7,16.1,25.6,17.8,25,16.1,11.1,16.1
20120213,11.7,13.3,15.6,12.2,11.7,25.6,16.1,16.7,15.6,7.2,14.4
20120214,13.3,15,15,13.3,16.7,22.8,16.1,12.8,15.6,12.8,16.1
20120215,14.4,16.1,15.6,13.3,16.1,22.2,13.9,15,14.4,11.7,15.6
20120216,17.2,19.4,17.8,15.6,17.2,20,20.6,11.1,22.2,20,20
20120217,15,18.3,20,18.3,16.7,24.4,22.2,15,20,15.6,16.1
20120218,13.9,17.8,15.6,17.2,17.8,22.2,18.3,18.3,15.6,17.8,15
20120219,12.2,13.9,16.7,15,16.7,22.2,16.7,20,14.4,19.4,14.4
20120220,13.3,15.6,15.6,16.7,16.1,22.8,16.7,16.7,15.6,12.2,11.1
20120221,16.1,17.2,21.7,17.2,19.4,22.2,23.3,14.4,22.2,12.8,20.6
20120222,21.1,25.6,23.9,20,26.1,24.4,28.3,18.3,23.3,15.6,23.9
20120223,20,25.6,18.9,21.1,26.1,31.1,26.7,23.9,24.4,22.2,20
20120224,21.1,22.2,16.7,25,25.6,32.8,27.8,24.4,17.8,26.1,22.8
